,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
2204,Star Mine Trail,MODERATE,26,"Black Diamond Mines Regional Park
",5.7 miles,"1,000 feet",Loop,"dogs on leash, kid friendly, camping, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, no shade,",4.2
2205,"Black Phoebe, Whipsnake, and Windmill Trail Loop",MODERATE,35,"Fernandez Ranch
",4.2 miles,688 feet,Loop,"dog friendly, hiking, mountain biking, nature trips, walking, bird watching, views, wild flowers,",4.5
2206,Cave Rock via Aliso Creek Trail,MODERATE,6,"Aliso And Wood Canyons Regional Park
",3.7 miles,167 feet,Out & Back,"hiking, nature trips, trail running, walking, forest, views, wild flowers,",4.3
2207,Agnew Meadows to Thousand Island Lake,HARD,7,"Ansel Adams Wilderness
",15.5 miles,"2,503 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, nature trips, trail running, bird watching, forest, lake, river, views, waterfall, wild flowers, bugs,",5
2208,Cottonwood Pass / New Army Pass Loop,MODERATE,12,"Golden Trout Wilderness
",23.5 miles,"3,727 feet",Loop,"dogs on leash, backpacking, camping, hiking, nature trips, walking, bird watching, forest, lake, views, wildlife, bugs, snow,",4.7
2209,Soda Springs and Parsons Lodge Trail,EASY,17,"Yosemite National Park
",1.6 miles,52 feet,Out & Back,"kid friendly, hiking, walking, forest, river, views, wild flowers, wildlife, no dogs,",4.3
2210,Lost Coast Trail: Bear Harbor to Usal Camp,HARD,10,"Piercy, California
",12.6 miles,"4,849 feet",Point to Point,"backpacking, camping, hiking, trail running, bird watching, forest, views, wildlife, no dogs,",4.5
2211,East Etiwanda Canyon and Primary Trail Loop,MODERATE,26,"North Etiwanda Preserve
",3.5 miles,721 feet,Loop,"hiking, nature trips, walking, views, wild flowers, wildlife, no shade, no dogs,",4.3
2212,San Dimas Canyon to Sunset Peak,HARD,20,"Angeles National Forest
",17.1 miles,"4,219 feet",Out & Back,"dog friendly, hiking, nature trips, trail running, bird watching, views,",4.3
2213,Maynard Mine Trail,MODERATE,29,"Santa Rosa and San Jacinto Mountains National Monument
",5.1 miles,"2,421 feet",Out & Back,"hiking, views, wild flowers, wildlife, rocky, no dogs,",4
2214,"Pratt, Foothill, and Fox Canyon Trails Loop",MODERATE,27,"Valley View Preserve
",3.1 miles,731 feet,Loop,"dogs on leash, hiking, nature trips, trail running, walking, lake, views, wild flowers, wildlife,",4.5
2215,Johnson Ranch Loop Trail Short Loop,EASY,31,"Johnson Ranch Open Space
",2.2 miles,305 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, trail running, views, wildlife, no shade,",4.5
2216,Upper Truckee River Loop,EASY,34,"South Lake Tahoe, California
",1.5 miles,9 feet,Loop,"dog friendly, kid friendly, fishing, hiking, mountain biking, trail running, walking, bird watching, river, wild flowers, wildlife, bugs,",3.6
2217,Barber Peak Loop Trail,MODERATE,25,"Mojave National Preserve
",5.6 miles,754 feet,Loop,"dogs on leash, hiking, views, wild flowers, rocky, scramble, no shade,",4.1
2218,Taylor Mountain via Western Route,HARD,41,"Taylor Mountain Regional Park and Open Space Preserve
",4.2 miles,"1,151 feet",Out & Back,"dogs on leash, hiking, mountain biking, trail running, views, wildlife,",4.3
2219,Bridalveil Creek Loop Trail,MODERATE,6,"Yosemite National Park
",6.2 miles,308 feet,Loop,"kid friendly, camping, cross country skiing, hiking, horseback riding, nature trips, walking, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.7
2220,Año Nuevo-Goat Hill Trail Loop,MODERATE,24,"Butano State Park
",3.7 miles,964 feet,Loop,"kid friendly, hiking, trail running, walking, forest, wild flowers, wildlife, no dogs,",4.2
2221,Lakes Basin Trail to Long Lake and Big Bear Lake,EASY,26,"Plumas National Forest
",2.3 miles,357 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, forest, lake, views, wildlife,",4.6
2222,Lafayette-Moraga Regional Trail via Moraga,EASY,32,"Moraga, California
",12.5 miles,652 feet,Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, road biking, trail running, walking, bird watching, paved, rails trails, views, wild flowers, city walk,",4
2223,Los Trancos Trail Loop,MODERATE,25,"Foothills Park
",6.6 miles,"1,417 feet",Loop,"hiking, trail running, walking, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.4
2224,PCT: Campo to Lake Morena,HARD,31,"Cleveland National Forest
",18.6 miles,"2,801 feet",Point to Point,"dog friendly, backpacking, camping, hiking, nature trips, bird watching, lake, views, wild flowers, wildlife, no shade,",4.7
2225,Bogert to Murray Peak,MODERATE,43,"Santa Rosa and San Jacinto Mountains National Monument
",6.8 miles,"1,853 feet",Out & Back,"hiking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no shade, no dogs,",4.5
2226,Mt. Baldy Notch via Bentley's Dream,MODERATE,12,"Angeles National Forest
",6.8 miles,"1,620 feet",Out & Back,"dogs on leash, hiking, trail running, walking, views, waterfall,",4.5
2227,Point Arena-Stornetta Unit of the California Coastal National Monument,EASY,26,"Point Arena, California
",5.7 miles,249 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, walking, bird watching, beach, views, wild flowers, wildlife,",4.2
2229,"Moonridge Trail, TePee Trail, Eagle Point, Wildwood Canyon, Paradise Falls, Indian Creek Trail",MODERATE,21,"Wildwood Regional Park
",3.2 miles,570 feet,Loop,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",4
2230,Iva Bells Hot Springs via Fish Creek Trail,HARD,13,"John Muir Wilderness
",25.6 miles,"3,940 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, nature trips, bird watching, forest, hot springs, views, wild flowers, wildlife,",4.4
2231,Hidden Falls to River Otter Loop,EASY,13,"Hidden Falls Regional Park
",4.2 miles,597 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, waterfall,",3.9
2232,Convict Creek Trail to Mildred Lake,HARD,18,"John Muir Wilderness
",9.1 miles,"2,306 feet",Out & Back,"dogs on leash, hiking, nature trips, bird watching, forest, lake, views,",4.3
2233,Wildwood Canyon Overlook Trail,MODERATE,31,"Wildwood Regional Park
",3.0 miles,912 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, bird watching, views, wild flowers, wildlife, rocky,",4
2234,Lost Trail and Brea Dam Trail,EASY,32,"Brea Dam Recreation Area
",3.2 miles,177 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, walking,",4.1
2235,Adobe Creek Trail,EASY,32,"Baylands Nature Preserve
",5.5 miles,32 feet,Out & Back,"dogs on leash, kid friendly, hiking, trail running, walking, bird watching, views, wildlife,",4.1
2236,Hayfield Trail to Toyon and Bay View Loop,MODERATE,22,"Fremont Older Open Space Preserve
",3.1 miles,570 feet,Loop,"hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers,",4.5
2237,Tahoe Rim Trail (TRT): Big Meadow to Echo Summit Loop,HARD,14,"Lake Tahoe Basin Management Unit
",19.5 miles,"3,572 feet",Loop,"dogs on leash, backpacking, camping, hiking, nature trips, bird watching, forest, lake, views, wild flowers, wildlife, bugs, rocky,",4.6
2238,Last Chance Trail,HARD,15,"Los Padres National Forest
",12.6 miles,"2,529 feet",Out & Back,"dog friendly, backpacking, hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife,",4.6
2239,Long Canyon Trail to Deer Lake,HARD,15,"Shasta-Trinity National Forest
",13.2 miles,"4,534 feet",Out & Back,"dog friendly, backpacking, camping, hiking, horseback riding, bird watching, forest, lake, views, wild flowers, wildlife,",4.5
2240,Brand Lateral Trail Loop,MODERATE,35,"Brand Park
",2.1 miles,744 feet,Loop,"dogs on leash, hiking, trail running, walking, views, wild flowers, wildlife, no shade,",4.7
2241,Skyline Trail,EASY,37,"Sanborn County Park
",5.3 miles,"1,758 feet",Loop,"backpacking, camping, hiking, forest, partially paved, river, views, waterfall, wild flowers, wildlife, bugs, muddy, rocky, snow, no dogs,",4.8
2242,San Gorgonio Mountain from Fish Creek,MODERATE,5,"San Gorgonio Wilderness
",19.2 miles,"3,687 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, nature trips, walking, bird watching, forest, views, wild flowers,",4.8
2243,"West Ridge, Tres Sendas, Stream Trail, Prince Trail, and East Ridge",MODERATE,22,"Redwood Regional Park
",3.8 miles,672 feet,Loop,"dogs on leash, hiking, nature trips, walking, bird watching, forest, views, wildlife,",4.3
2244,"Kings Creek Falls, Bench Lake, and Sifford Lake Loop Trail",MODERATE,9,"Lassen Volcanic National Park
",6.3 miles,984 feet,Loop,"hiking, nature trips, walking, bird watching, forest, lake, views, waterfall, wild flowers, rocky, no dogs,",3.9
2245,Cottle Trail to Calero Reservoir and Lisa Killough Trail,MODERATE,39,"Rancho San Vicente Open Space Preserve
",8.3 miles,744 feet,Loop,"hiking, mountain biking, nature trips, walking, bird watching, lake, views, wild flowers,",4.3
2246,Kenneth Hahn Loop from Norman O Houston Park,EASY,40,"Kenneth Hahn State Recreation Area
",1.9 miles,213 feet,Loop,"dog friendly, kid friendly, hiking, trail running, walking, views,",4.4
2247,"Stream Trail, Prince Trail, and East Ridge Trail Loop",MODERATE,17,"Redwood Regional Park
",3.2 miles,567 feet,Loop,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.3
2248,Glen Eden Trail,HARD,23,"Lakeport, California
",8.5 miles,"2,457 feet",Out & Back,"dog friendly, hiking, mountain biking, nature trips, forest, views, wild flowers, wildlife,",4.3
2249,Los Pinos Peak (South approach),HARD,15,"Caspers Wilderness Park
",13.2 miles,"4,753 feet",Out & Back,"hiking, mountain biking, nature trips, bird watching, forest, views, wild flowers, wildlife, no dogs,",3.9
2250,North Grasslands Trail to Talopop and Las Virgenes Loop,EASY,25,"Liberty Canyon Natural Preserve
",4.8 miles,616 feet,Loop,"kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4
2251,Trailer Canyon Fire Road,MODERATE,29,"Topanga State Park
",4.3 miles,925 feet,Out & Back,"kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.1
2252,Pacific Valley Bluff Trail,EASY,16,"Los Padres National Forest
",1.6 miles,137 feet,Loop,"dogs on leash, kid friendly, hiking, walking, beach, views, wild flowers, over grown,",4.1
2253,"Colby Canyon, Strawberry Spur and Josephine Peak Loop",MODERATE,28,"San Gabriel Mountains National Monument
",5.7 miles,"1,486 feet",Loop,"dogs on leash, hiking, nature trips, trail running, forest, views, wildlife,",4.3
2255,"Fox Canyon, Foothill, and Luci's Trails Loop",MODERATE,34,"Valley View Preserve
",2.9 miles,833 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, forest, views, wild flowers, wildlife, no shade,",4.6
2256,Lake Ilsanjo via Canyon and Spring Creek Trail,EASY,27,"Annadel State Park
",4.8 miles,498 feet,Out & Back,"kid friendly, hiking, nature trips, walking, bird watching, forest, lake, views, wild flowers, wildlife, no dogs,",4.5
2257,Hatchet Creek and Lion Slide Falls,EASY,16,"Big Bend, California
",0.2 miles,62 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, forest, views,",4.4
2258,Azure Lake via Cascade Creek Trail,MODERATE,11,"Lake Tahoe Basin Management Unit
",5.4 miles,"1,145 feet",Out & Back,"hiking, nature trips, trail running, forest, lake, views, wildlife, snow, off trail, no dogs,",4.5
2259,Coast Trail: Palomarin Beach to Limantour Beach,HARD,5,"Point Reyes National Seashore
",15.6 miles,"2,204 feet",Point to Point,"kid friendly, backpacking, camping, hiking, nature trips, walking, bird watching, beach, forest, lake, views, waterfall, wild flowers, wildlife, bugs, muddy, rocky, no dogs,",4.6
2260,East Ridge and Pool Ridge Short Loop,MODERATE,25,"Armstrong Redwoods State Reserve
",3.5 miles,"1,066 feet",Loop,"hiking, trail running, forest, river, waterfall, no dogs,",4.6
2261,Mike Schuler Trail,MODERATE,15,"Santa Rosa and San Jacinto Mountains National Monument
",1.6 miles,272 feet,Out & Back,"hiking, walking, views, bugs, no dogs,",3.9
2262,Scorpion Canyon Loop Trail,MODERATE,31,"Channel Islands National Park
",4.5 miles,784 feet,Loop,"hiking, nature trips, trail running, bird watching, beach, views, wild flowers, wildlife, no dogs,",4.2
2263,"Lower Ridge, Rhus, and Coffeeberry Loop",MODERATE,28,"Jacks Peak County Park
",4.0 miles,764 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, trail running, bird watching, views, wild flowers, wildlife,",4.2
2264,Last Chance Canyon OHV Trail,MODERATE,21,"Red Rock Canyon State Park
",13.9 miles,"1,568 feet",Point to Point,"off road driving, views, wildlife, rocky,",4.4
2265,Twin Peaks via Sawmill Pond OHV Trail,MODERATE,34,"Lake Tahoe Basin Management Unit
",3.0 miles,551 feet,Out & Back,"off road driving, forest, views, wildlife, over grown, rocky,",4.2
2266,Inspiration Point via Mount Lowe Trail,MODERATE,16,"Angeles National Forest
",5.2 miles,"1,348 feet",Out & Back,"dogs on leash, hiking, mountain biking, nature trips, trail running, bird watching, views, no shade,",4.6
2267,"Grasslands Crossing, North Perimeter and Oak Canyon Trail Loop",EASY,27,"Mission Trails Regional Park
",2.4 miles,134 feet,Loop,"dogs on leash, kid friendly, hiking, trail running, views, wildlife, no shade,",4.3
2268,Condor Gulch Trail To Overlook,MODERATE,10,"Pinnacles National Park
",1.8 miles,564 feet,Out & Back,"hiking, views, no dogs,",3.8
2269,Trail 41 and Trail 36 Loop,MODERATE,37,"Fort Ord National Monument
",9.5 miles,"1,243 feet",Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, partially paved, views, wild flowers, wildlife, no shade,",4.3
2270,Confluence and Clementine Trail Loop,MODERATE,23,"Auburn State Recreation Area
",6.4 miles,"1,013 feet",Loop,"hiking, mountain biking, nature trips, trail running, walking, bird watching, views,",4.2
2271,Mount San Jacinto Round Valley Loop via Devils Slide Trail,HARD,7,"San Jacinto Wilderness
",14.1 miles,"3,690 feet",Loop,"backpacking, camping, hiking, nature trips, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.4
2272,Santa Ana River Trail - Eastern Portion,MODERATE,27,"San Bernardino National Forest
",17.6 miles,"2,073 feet",Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, trail running, walking, bird watching, forest, views, wild flowers, wildlife, washed out,",4.2
2273,Lake Lois and Lake Schmidell,HARD,12,"Desolation Wilderness
",16.1 miles,"3,018 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, trail running, forest, lake, views, wild flowers, wildlife, snow,",4.4
2274,Live Oak to Vista to Hoffman Homestead,MODERATE,43,"O'Neil Regional Park
",4.2 miles,846 feet,Loop,"hiking, horseback riding, mountain biking, nature trips, walking, bird watching, views, wild flowers, no dogs,",4.4
2275,White Chief Canyon Trail,HARD,15,"Sequoia National Park
",7.1 miles,"2,230 feet",Out & Back,"backpacking, hiking, nature trips, bird watching, views, wild flowers, wildlife, no dogs,",4.9
2276,Mach One and Poles Loop Trail,MODERATE,17,"Crystal Cove State Park
",3.1 miles,777 feet,Loop,"hiking, mountain biking, nature trips, bird watching, views, wild flowers, no dogs,",4.5
2277,Timberview Trail,MODERATE,34,"El Corte De Madera Creek Open Space Preserve
",5.5 miles,"1,538 feet",Out & Back,"hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, no dogs,",4.2
2278,El Toro Creek Skyline Road Loop Trail,MODERATE,24,"Fort Ord National Monument
",5.9 miles,705 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.1
2279,Bee Rock and Spring Canyon Loop,MODERATE,29,"Griffith Park
",3.9 miles,823 feet,Loop,"dogs on leash, hiking, trail running, walking, views, wildlife,",4.3
2280,Mount Thorn via Hotstetter and Verdugo Crest Trail,HARD,12,"La Tuna Canyon Park
",11.7 miles,"2,470 feet",Out & Back,"dogs on leash, hiking, mountain biking, trail running, views, wild flowers, wildlife,",4.5
2281,Panum Crater Trail,MODERATE,31,"Mono Basin National Forest Scenic Area
",2.1 miles,416 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, views, wild flowers, rocky,",4.1
